Year,PLACE,Count
1902.0,Saint John River Basin NB,1
1904.0,"Lumsden, Saskatchewan",1
1904.0,Red River MB,1
1908.0,"Old Man River, Alberta",1
1908.0,"Port Arthur, Ontario",1
1909.0,Chester NB,1
1915.0,North Saskatchewan River AB and SK,1
1915.0,Northeastern New Brunswick,1
1916.0,"Fernie, British Columbia",1
1916.0,Winnipeg MB,1
1917.0,Northwestern British Columbia,1
1920.0,Southwestern Ontario,1
1922.0,Saint John River Basin NB,1
1923.0,"Crowsnest Pass , Alberta",1
1923.0,Saint John River Basin NB,1
1923.0,Winnipeg MB,1
1925.0,Dawson YT,1
1928.0,Pike Lake SK,1
1928.0,"Rideau, Chaudière and Quyon Rivers QC",1
1929.0,Southern Ontario,2
1932.0,"Calgary, Alberta",1
1933.0,New Brunswick and Eastern Quebec,1
1933.0,Southern New Brunswick,1
1934.0,Plaster Rock NB,1
1935.0,Nova Scotia,1
1936.0,New Brunswick,1
1936.0,"Skeena River, British Columbia",1
1936.0,Southern Ontario,1
1937.0,Southern Ontario,2
1941.0,"Burin Peninsula, St. John's and Little St. Lawrence NL",1
1942.0,"Crowsnest Pass , Alberta",1
1947.0,Bristol NB,1
1947.0,Elgin NB,1
1947.0,Southern ON,1
1948.0,"Fernie, British Columbia",1
1948.0,Fraser River BC,1
1948.0,"Kimberley, British Columbia",1
1948.0,Red Deer River AB,1
1948.0,Southern Ontario,1
1948.0,St. John's NL,1
1950.0,Saint John River Basin NB,1
1950.0,Southern Ontario,2
1950.0,Winnipeg MB,1
1951.0,Bow River BC,1
1951.0,"Stephenville Crossing, Summerside NL",1
1951.0,Sumas and Chilliwack BC,1
1952.0,Eastend SK,1
1953.0,"Lethbridge, Alberta",1
1954.0,Southern Ontario,1
1955.0,Manitoba and Saskatchewan,1
1956.0,Nova Scotia,1
1956.0,Southern Ontario,1
1957.0,Thetford Mines QC,1
1960.0,Southern and Central Ontario,1
1960.0,Winnipeg MB,1
1961.0,Northwestern British Columbia,1
1961.0,Saint John River Basin NB,1
1961.0,Timmins ON,1
1962.0,Prince Edward Island,1
1962.0,Southeastern New Brunswick,1
1963.0,"Hay River Township, south shore of Great Slave Lake NT",1
1965.0,St. Lawrence River QC,1
1966.0,Baie-Comeau QC,1
1966.0,Winnipeg MB,1
1968.0,Southwestern and Southern Ontario,1
1969.0,Iroquois NB,1
1969.0,Newfoundland,1
1969.0,Qu'Appelle River Basin SK,1
1969.0,Winnipeg MB,1
1970.0,Central Ontario,1
1970.0,Chaudière River QC,1
1970.0,Saint John River Basin NB,1
1970.0,Winnipeg MB,1
1971.0,Montreal QC,1
1971.0,Nova Scotia,1
1971.0,Saint-Jean QC,1
1972.0,Corner Brook NL,1
1972.0,Prince George BC,1
1972.0,Richelieu River QC,1
1972.0,Smoky and Peace River Basins AB,1
1973.0,Lake Huron ON,1
1974.0,Cambridge/Waterloo Region ON,1
1974.0,Central and Northern Alberta,1
1974.0,Central and Southern Manitoba,1
1974.0,"Hay River Township, south shore of Great Slave Lake NT",1
1974.0,Maniwaki QC,1
1974.0,Saint John River Basin NB,1
1974.0,Saskatchewan,1
1975.0,Regina SK,1
1975.0,Saskatchewan,1
1975.0,Southwestern AB,1
1976.0,Assiniboine River MB,1
1976.0,Grand Falls NL,1
1976.0,Quebec,1
1976.0,Saint John River Basin NB,1
1976.0,Saskatchewan,1
1976.0,Toronto ON,1
1977.0,Corner Brook NL,1
1977.0,"Fort McMurray, Rainbow Lake AB",1
1977.0,Southern and Central Ontario,1
1978.0,Edmonton AB,1
1978.0,"Kicking Horse Pass, Alberta - British Columbia border",1
1978.0,Milk River and area AB,1
1978.0,Newfoundland,1
1978.0,Northwestern British Columbia,1
1979.0,Calgary AB,1
1979.0,Central Ontario,2
1979.0,Dawson YT,1
1979.0,Lethbridge AB,1
1979.0,New Brunswick,1
1979.0,Peace River AB,1
1979.0,Red River region MB,1
1979.0,Southwestern Ontario,1
1979.0,Vancouver Island BC,1
1980.0,Gaspésie Region QC,1
1980.0,Southern Ontario,1
1980.0,Squamish River BC,1
1981.0,Edmonton AB,1
1981.0,Southeastern ON,1
1981.0,Sussex NB,1
1981.0,Westfield and Grand Bay NB,1
1982.0,Aklavik NT,1
1982.0,Grande Prairie AB,1
1982.0,Hay River NT,1
1982.0,Sherbrooke QC,1
1983.0,Avalon Peninsula NL,1
1983.0,Badger NL,1
1983.0,Central Alberta,1
1983.0,"Central, southern, and western Newfoundland",1
1983.0,Gaspésie QC,1
1983.0,"North shore of St. Lawrence River, and Yamachiche Maskinonge River basins QC",1
1983.0,"upper Richelieu River, Montréal QC",1
1984.0,Lower Fraser River Valley BC,1
1984.0,Northeast Saskatchewan,1
1984.0,Pemberton area BC,1
1984.0,Saint John River Basin NB,1
1984.0,Southern Ontario,1
1984.0,Truro NS,1
1985.0,Chatham ON,1
1985.0,"Hay River Township, south shore of Great Slave Lake NT",1
1985.0,Lake Erie ON,1
1985.0,Lake Huron and Lake Erie ON,1
1986.0,East Central British Columbia,1
1986.0,Icelandic River and Fisher River MB,1
1986.0,North-central Alberta,1
1986.0,Riviere Chaudière QC,1
1986.0,"Saint John River, between Simonds and Woodstock NB",1
1986.0,Saskatchewan and Alberta,1
1986.0,Winisk ON,1
1987.0,Lake St. Clair ON,1
1987.0,Montreal QC,1
1987.0,Perth-Andover NB,1
1987.0,Southcentral Quebec,1
1988.0,Central and Southern Alberta,1
1988.0,Duck Mountain and Swan River MB,1
1988.0,Goulais River ON,1
1988.0,Lesser Slave Lake region AB,1
1988.0,"Lethbridge, Taber, Irma and Wainwright AB",1
1988.0,Norman Wells NT,1
1988.0,Northern British Columbia,1
1989.0,Albany and Attawapiskat River ON,1
1989.0,"Harrow, Kent, Essex, Leamington counties ON",1
1989.0,Liard River NT,1
1989.0,Southwestern British Columbia,1
1990.0,Newfoundland,1
1990.0,Southwestern British Columbia,1
1990.0,Western Alberta,1
1990.0,Woodstock NB,1
1991.0,Chaudière River QC,1
1991.0,Northwestern British Columbia,1
1991.0,Old Crow YT,1
1992.0,Attawapiskat ON,1
1992.0,Elmira ON,1
1992.0,Hay River NT,1
1992.0,Lethbridge AB,1
1992.0,Peace River AB,1
1992.0,Toronto ON,1
1992.0,Yukon Rivers YT,1
1993.0,Quebec,1
1993.0,Saskatchewan,1
1993.0,Swan River MB,1
1993.0,Upper Saint John River Valley NB,1
1993.0,Winnipeg MB,1
1994.0,Plaster Rock NB and Lower St. Lawrence Region QC,1
1994.0,Southern ON,1
1995.0,"East Kooteney (Elk River-Watershed) Region and the municipalities of Sparwood, Fernie and surrounding areas BC",1
1995.0,Northeastern Saskatchewan,1
1995.0,Poplar Bay AB,1
1995.0,Quebec,1
1995.0,Southeastern British Columbia,1
1995.0,Southern Alberta,1
1995.0,Southwestern British Columbia,1
1995.0,Western MB,1
1996.0,Atikokan ON,1
1996.0,Flat Bay NL,1
1996.0,Lesser Slave Lake area AB,1
1996.0,Nechako River BC,1
1996.0,Ottawa ON,1
1996.0,"Red River, Souris River, Assiniboine River and Pembina River MB",1
1996.0,Saguenay River Valley QC,1
1996.0,Sunny Valley AB,1
1996.0,Timmins and Dufferin County ON,1
1997.0,"Assiniboine, Red and Winnipeg Rivers MB",1
1997.0,Durham ON,1
1997.0,Lesser Slave Lake area AB,1
1997.0,Peace River AB,1
1997.0,South-Central Saskatchewan,1
1997.0,Southern British Columbia,1
1998.0,Eastern Ontario and Quebec,1
1998.0,Saint John River NB,1
1999.0,British Columbia,2
1999.0,Clearwater AB,1
1999.0,Maritime Provinces,1
1999.0,Melita MB,1
1999.0,Prince Edward Island,1
1999.0,Southeastern Saskatchewan,1
1999.0,White Rock BC,1
2000.0,Southern Manitoba,1
2000.0,Sydney NS,1
2000.0,Vanguard SK,1
2001.0,Northeast and Central British Columbia,1
2001.0,Peace River area BC,1
2001.0,Southern Manitoba,1
2002.0,Attawapiskat First Nation ON,1
2002.0,British Columbia,1
2002.0,"Municipalities of Ignace, Fort Frances, Rainy River, Alberton, Atikokan, Chapple, Dawson, Emo, La Valle, Lake of the Woods, Morley, Machin; Township of Sioux-Narrows - Nestor Falls, ON",1
2002.0,Southeast MB,1
2002.0,Southern Alberta,1
2003.0,Badger NL,1
2003.0,Oxford and Truro NS,1
2003.0,Prince Edward Island,1
2003.0,"The Bois-Francs, Chaudière-Appalaches, Beauce, l'Outaouais, Lanaudière, and Abitibi-Témiscamingue regions QC",1
2003.0,Vancouver Island and Southwestern British Columbia,1
2003.0,West Coast of Newfoundland,1
2004.0,Attawapiskat ON,1
2004.0,"Peterborough, Ontario",1
2004.0,South Central Manitoba,1
2004.0,The Pas MB,1
2005.0,Bridgewater NS,1
2005.0,Cumberland House Cree First Nation SK,1
2005.0,Fort Good Hope NT,1
2005.0,Kashechewan ON,1
2005.0,Manitoba,1
2005.0,Quebec,1
2005.0,Southern Alberta,1
2005.0,Southern New Brunswick,1
2005.0,Stephenville NL,1
2006.0,Aklavik NT,1
2006.0,Baie Verte Peninsula NL,1
2006.0,Kashechewan ON,1
