Year,Province,Count
1903,New Brunswick,1
1910,British Columbia,1
1911,Ontario,1
1916,Ontario,1
1919,Alberta,1
1922,Ontario,1
1931,British Columbia,1
1936,Saskatchewan,1
1938,Ontario,1
1941,Ontario,1
1948,Ontario,1
1950,Alberta,1
1955,Ontario,1
1969,Ontario,1
1980,Ontario,1
1985,British Columbia,1
1986,Newfoundland and Labrador,1
1986,Ontario,1
1986,Quebec,1
1987,Ontario,1
1988,Ontario,1
1989,Manitoba,1
1989,Ontario,1
1990,Yukon,1
1991,Quebec,1
1994,British Columbia,1
1995,Ontario,1
1995,Saskatchewan,1
1997,Ontario,2
1997,Quebec,1
1998,Alberta,1
1998,British Columbia,2
1998,Northwest Territories,1
1998,Ontario,1
1999,Manitoba,2
1999,Newfoundland and Labrador,1
1999,Ontario,1
1999,Saskatchewan,1
1999,Yukon,1
2002,Alberta,2
2002,Newfoundland and Labrador,1
2002,Ontario,2
2002,Saskatchewan,4
2003,British Columbia,2
2003,Manitoba,1
2003,Northwest Territories,1
2003,Nova Scotia,1
2005,British Columbia,1
2005,Quebec,2
2006,Alberta,1
2006,British Columbia,2
2006,Quebec,1
2007,British Columbia,1
2007,Manitoba,1
2007,Newfoundland and Labrador,2
2007,Ontario,1
2007,Quebec,1
2008,Alberta,1
2008,Manitoba,2
2008,Nova Scotia,1
2008,Saskatchewan,2
2009,British Columbia,1
2010,Alberta,1
2010,British Columbia,1
2010,Manitoba,1
2010,Ontario,1
2010,Quebec,1
2011,Alberta,2
2011,Ontario,1
2011,Saskatchewan,2
2012,Alberta,2
2012,British Columbia,1
2012,Manitoba,2
2012,Newfoundland and Labrador,2
2012,Ontario,3
2014,British Columbia,1
2014,Northwest Territories,1
2015,British Columbia,1
2015,Saskatchewan,1
2016,Alberta,2
2016,British Columbia,2
2016,Manitoba,1
2017,British Columbia,1
2017,Manitoba,1
2018,British Columbia,1
2018,Manitoba,1
2018,Ontario,1
2019,Alberta,1
2019,Ontario,1
2020,British Columbia,1
